dwell_times|path_lengths|resolution|runtimes|vantage_points
2377.710960606558|15.27413838042028|1|14.768042087554932|15
750.6162869822602|9.902174959962242|1|12.94164776802063|10
2851.3426584581957|15.683071023175724|1|9.449235916137695|14
4679.559438113802|15.463220713149724|1|8.448620080947876|12
7955.889919753106|18.578335374763714|1|9.408656597137451|14
1702.9835100843072|16.04188764203645|1|43.87575006484985|14
1067.7059967492814|12.235342059496709|1|115.24190735816956|13
855.0044929321252|13.113381119587839|1|80.11323261260986|12
9147.742528958795|14.351749460560574|1|8.852269649505615|13
8580.827319835278|17.078884495248232|1|9.165112018585205|13
3176.4009107820034|24.584816015275464|1|8.526683568954468|13
965.4833366578054|10.01881268700312|1|10.347563743591309|9
1074.7220909296016|14.134220074400139|1|76.09043073654175|14
5389.054604969453|18.552495970934544|1|8.432614088058472|12
1790.6456676552252|14.431555230949769|1|16.863425493240356|14
1401.4537965830907|14.913314535491796|1|35.720073223114014|13
2686.5193179995304|16.746868847858757|1|11.00130558013916|16
1975.2826286207926|13.329785898724229|1|8.631937503814697|12
5057.004253361078|18.32042242134785|1|8.436476707458496|12
4981.990686237283|17.14953255764852|1|11.060871839523315|16
8776.068609178577|16.844154104961603|1|8.879990577697754|12
20425.13391852671|14.58982452366039|1|9.02315354347229|13
2649.469685682471|18.19636607989502|1|44.67380428314209|17
4213.200049151664|20.55392079885249|1|8.772338151931763|14
4800.054087428264|15.538969561200872|1|9.047555923461914|14
